ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Higher_Education,Date_of_Hire,Status_of_leaving,Mode_of_work,Leaves,Absenteeism,Work_accident,Source_of_Hire,Job_mode
15727,37,Yes,Travel_Rarely,Research & Development,2,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,0,7,3,0,0,0,Graduation,21-01-2021,Salary,OFFICE,4,2,No,Job Event,Contract
19167,21,No,Travel_Rarely,Research & Development,15,Male,3,1,Research Scientist,4,Single,1232,1,No,14,3,0,0,6,0,0,0,Graduation,13-03-2021,Work Accident,WFH,5,2,No,Recruiter,Part Time
13459,45,No,Travel_Rarely,Research & Development,6,Male,3,3,Research Director,1,Married,13245,4,Yes,14,3,0,17,3,0,0,0,Post-Graduation,23-01-2021,Dept.Head,WFH,1,3,No,Job Event,Contract
17553,23,No,Travel_Rarely,Sales,2,Male,3,1,Sales Representative,1,Divorced,2322,3,No,13,3,1,3,3,0,0,0,PHD,25-04-2021,Work Accident,OFFICE,1,0,Yes,Recruiter,FullTime
19130,22,No,Travel_Rarely,Research & Development,15,Female,3,1,Laboratory Technician,4,Single,2871,1,No,15,3,0,1,5,0,0,0,PHD,14-06-2021,Better Opportunity,WFH,5,2,No,Job Event,Contract
12371,19,Yes,Travel_Rarely,Sales,22,Male,3,1,Sales Representative,3,Single,1675,1,Yes,19,3,0,0,2,0,0,0,PHD,14-04-2021,Work Accident,WFH,1,1,Yes,Job Portal,Part Time
18735,19,Yes,Travel_Frequently,Sales,1,F,1,1,Sales Representative,1,Single,2325,0,No,21,4,0,1,5,0,0,0,PHD,12-01-2021,Work Accident,WFH,2,2,No,Walk-in,Contract
16032,28,Yes,Travel_Rarely,Research & Development,2,Male,3,1,Laboratory Technician,3,Single,3485,2,No,11,3,0,5,5,0,0,0,Post-Graduation,30-05-2021,Work Environment,WFH,0,2,No,Walk-in,Contract
13656,29,No,Travel_Rarely,Sales,2,Male,2,2,Sales Executive,2,Married,6644,2,No,19,3,2,10,2,0,0,0,Graduation,28-02-2021,Better Opportunity,OFFICE,5,2,No,Walk-in,Part Time
14477,18,Yes,Travel_Rarely,Research & Development,3,Male,3,1,Laboratory Technician,3,Single,1420,1,No,13,3,0,0,2,0,0,0,PHD,06-05-2021,Work Environment,WFH,5,2,No,Walk-in,FullTime
